"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"139","MTS_10224","10224","10224","Adams Av & Biona Dr","32.76317276","-117.10431631","MTS","1.0","N-E/B","","","32.76316798593637","-117.10430441308745"
"140","MTS_10225","10225","10225","Market St & Denby St","32.71139783","-117.10292696","MTS","1.0","N-E/B","","","32.71139306596561","-117.10291507259893"
"141","MTS_10227","10227","10227","National Av & San Pasqual St","32.69641482","-117.10306155","MTS","1.0","F-W/B","","","32.696410061841576","-117.10304966257195"
"142","MTS_10228","10228","10228","8th St & F Av","32.67756198","-117.10040606","MTS","1.0","F-E/B","","","32.6775572175661","-117.10039417493063"
"143","MTS_10229","10229","10229","Carmel Mountain Rd & Stoney Creek Rd","32.96337085","-117.10312898","MTS","1.0","M-Street-N/B","cmrsck","","32.96336605275449","-117.10311706953553"
"144","MTS_10230","10230","10230","Home Av & Fairmount Av","32.728334","-117.10015461","MTS","1.0","N-E/B","","","32.72832922994908","-117.1001427153607"
"145","MTS_10231","10231","10231","Ocean View Bl & Elizabeth St","32.70045362","-117.09929737","MTS","1.0","N-E/B","","","32.700448854051714","-117.09928548202582"
"146","MTS_10232","10232","10232","Imperial Av & 45th St","32.70406208","-117.0981456","MTS","0.0","N-E/B","","","32.70405731443637","-117.09813370950324"
"147","MTS_10235","10235","10235","Logan Av & 47th St","32.69670801","-117.09320233","MTS","1.0","F-E/B","47log","","32.69670325168551","-117.09319044473145"
"148","MTS_10236","10236","10236","Ocean View Bl & 47th St","32.70040491","-117.09398209","MTS","1.0","N-E/B","","","32.700400143844405","-117.0939702017898"
"149","MTS_10237","10237","10237","Zion Av & Crawford St (Kaiser)","32.79289558","-117.09425673","MTS","1.0","N-E/B","kaihos","","32.792890807609666","-117.09424483085989"
"150","MTS_10238","10238","10238","University Av & 47th St","32.74947427","-117.09352192","MTS","1.0","N-E/B","","","32.74946950469131","-117.09351002803147"
"151","MTS_10242","10242","10242","University Av & Estrella Av","32.74945296","-117.09020096","MTS","1.0","N-E/B","","","32.749448188213755","-117.09018906592814"
"152","MTS_10247","10247","10247","El Cajon Bl & 50th St","32.75669001","-117.08692943","MTS","1.0","N-E/B","","","32.75668523561921","-117.08691753694825"
"153","MTS_10250","10250","10250","El Cajon Bl & 54th St","32.75787567","-117.07862662","MTS","0.0","F-E/B","","","32.757870904162075","-117.07861473154968"
"154","MTS_10252","10252","10252","University Av & 52nd St","32.74899361","-117.08376976","MTS","1.0","N-E/B","","","32.748988839943955","-117.08375786607806"
"155","MTS_10253","10253","10253","Zion Av & 51st St","32.79283556","-117.0836772","MTS","1.0","N-E/B","","","32.79283078331696","-117.08366531138209"
"156","MTS_10254","10254","10254","E St & 3rd Av","32.64451482","-117.08177193","MTS","1.0","N-E/B","e3rd","","32.644510061238314","-117.08176005274373"
"157","MTS_10255","10255","10255","Olvera Av & Gwen St","32.69784545","-117.08153072","MTS","1.0","N-E/B","","","32.697840682597196","-117.08151883889215"
"158","MTS_10256","10256","10256","Zion Av & Waring Rd","32.79280044","-117.08154872","MTS","1.0","M-Street-E/B","","","32.79279566536281","-117.08153682724564"
"159","MTS_10257","10257","10257","El Cajon Bl & 54th St","32.7576761","-117.0796949","MTS","1.0","N-E/B","elc54","","32.75767133083145","-117.0796830125602"
"160","MTS_10258","10258","10258","Montezuma Rd & 54th St","32.77105299","-117.07970378","MTS","2.0","N-E/B","","","32.77104821337814","-117.07969189085084"
"161","MTS_10259","10259","10259","Olvera Av & San Onofre Ter","32.69880564","-117.07771059","MTS","1.0","N-E/B","","","32.69880087218125","-117.077698706347"
"162","MTS_10260","10260","10260","El Cajon Bl & Dayton St","32.75814842","-117.0768922","MTS","1.0","F-E/B","elc54","","32.75814364568283","-117.07688031509905"
"163","MTS_10261","10261","10261","Grape St & 55th St","32.72760644","-117.07699259","MTS","0.0","M-Street-E/B","","","32.727601673739905","-117.07698069928992"
"164","MTS_10262","10262","10262","College Av & El Cajon Bl","32.76195317","-117.0668634","MTS","0.0","F-N/B","elccol","","32.76194839844124","-117.06685151356002"
"165","MTS_10263","10263","10263","Olvera Av & Las Flores Ter","32.69935486","-117.07491048","MTS","1.0","N-E/B","","","32.69935009502957","-117.07489859148804"
