,post_id,num_beds,num_baths,price,sqft,houseType,rentPeriod,parking,laundry,pets,smoking,air conditioning,wheelchair accessible,EV charging,furnished,lat,lon,tfidf_words
502,7455186341,2,2,3200.0,-1,,,,,,,,,,,32.806763,-117.149407,"['mesa', 'serra', 'kearny', 'chargersrecyclingresident', 'gnifvnqr']"
503,7455186772,2,2,3234.0,-1,apartment,,detached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,,,32.764583,-117.196047,"['arrive', 'accepts', 'payments', '4bcarcqc', 'disability']"
504,7455189925,1,1,2824.0,620,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['kitchenmicrowavebbq', 'tvsmedia', 'garagearcade', 'acwrzhlm', 's9']"
505,7455192648,2,2,3691.0,1169,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['kitchenmicrowavedishwasher10', 'bdod2sqk', 'west', 'bathsprivate', 'wallelectric']"
506,7455193881,1,1,2350.0,-1,condo,rent period: monthly,attached garage,w/d in unit,,,,,,,32.86852829375985,-117.22483347537391,"['complex', 'underground', 'spot', 'building', 'villa']"
507,7455195790,2,2,2625.0,-1,,,,,,,,,,,34.1805795,-116.2293965,"['esprit', 'villas', '22g4pgtfcj', '4qmc5l', 'cable']"
508,7455201560,0,1,1650.0,-1,apartment,rent period: monthly,carport,laundry on site,,no smoking,air conditioning,,,,,,"['506', '1650', '2400', 'eateries', 'interested']"
509,7455208742,1,1,2880.0,-1,apartment,,off-street parking,w/d in unit,cats are OK - purrr,,,,,,34.0443741,-117.3200378,"['society', 'moment', 'acc', 'later', 'managed']"
510,7455210673,2,2,3500.0,-1,apartment,,attached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,,EV charging,,32.95863740703518,-117.19243461306532,"['carmel', 'avino', 'rd', 'sr', 'highlands']"
511,7455211372,2,2,3500.0,-1,apartment,,attached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,,EV charging,,32.95863740703518,-117.19243461306532,"['carmel', 'avino', 'rd', 'sr', 'highlands']"
512,7455213621,3,2,3990.0,-1,,,,,,,,,,,32.806763,-117.149407,"['mesa', 'serra', 'kearny', 'o2pw252t', 'poolrecyclingbbq']"
513,7455214404,2,2,3489.0,-1,apartment,,detached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,,,32.764583,-117.196047,"['arrive', 'atksspd4', 'balcony', 'llip', 'progran']"
514,7455223583,2,2,4500.0,-1,apartment,,off-street parking,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,EV charging,,32.872325,-117.202722,"['489', 'units', 'crossroads', '700', 'specials']"
515,7455230979,2,2,3178.0,-1,apartment,,carport,w/d in unit,,,,,,,32.77490895,-117.14184597426755,"['rio', 'promenade', 'vista', 'valley', 'kvs734']"
516,7455231235,2,2,3314.0,1045,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['balconycontrolled', 'hp5cmwp2', 'dishwasherroof', 'west', 'entryquartz']"
517,7455231920,1,1,2900.0,-1,apartment,rent period: monthly,detached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,EV charging,,32.872325,-117.202722,"['crossroads', '860', 'specials', 'units', 'parking']"
518,7455231967,1,1,2960.0,7,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['4m2gw6kv', 'microwavedishwasherquartz', 'bathscontrolled', 'wallconference', 'room10']"
519,7455234507,0,1,1600.0,-1,flat,rent period: monthly,street parking,w/d hookups,cats are OK - purrr,,,,,,46.3144754,11.0480288,"['minute', '400sq', '1600', '5x10', 'hookup']"
520,7455239313,2,2,3324.0,-1,apartment,,detached garage,w/d in unit,,,,,,,32.764583,-117.196047,"['arrive', 'phofmav5', 'handrails', 'wheelchair', 'market']"
521,7455244495,1,1,1995.0,-1,,rent period: yearly,off-street parking,no laundry on site,,no smoking,,,,,,,"['usd', 'charming', 'fashion', '00', 'application']"
522,7455245751,1,1,2760.0,-1,,,,,,,,,,,32.806763,-117.149407,"['mesa', 'serra', 'kearny', 'roomfitness', 'vkevqrec']"
523,7455250553,1,1,2600.0,-1,apartment,,detached garage,w/d in unit,,no smoking,air conditioning,wheelchair accessible,,,46.3144754,11.0480288,"['beautiful', 'pinncale', 'follows', 'conference', 'changed']"
